127.0.0.1 - - [23/Apr/2024:20:42:18 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Apr/2024:20:42:19 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/index.html HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [23/Apr/2024:20:42:19 -0300] "GET /ProjetoTrilhaWeb/pages/js/product.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [23/Apr/2024:20:42:19 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [23/Apr/2024:20:53:58 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2024:20:53:58 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3189
0:0:0:0:0:0:0:1 - - [23/Apr/2024:20:53:58 -0300] "GET /ProjetoTrilhaWeb/js/jquerry-ui.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [23/Apr/2024:20:53:58 -0300] "GET /ProjetoTrilhaWeb/css/jquerry-ui.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [23/Apr/2024:20:53:58 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [23/Apr/2024:20:54:00 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [23/Apr/2024:20:54:00 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [23/Apr/2024:20:54:02 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 83
